enrollment_id,student_id,course_id,term_id,program_id,credits_attempted,final_grade,passed,course_completed,instruction_mode
E00000001,STU00001,C004,2023FA,P003,3,B,True,True,Online
E00000002,STU00001,C001,2023FA,P003,1,A,True,True,Online
E00000003,STU00001,C002,2023FA,P003,3,C,True,True,Hybrid
E00000004,STU00001,C005,2024SP,P003,3,A,True,True,Hybrid
E00000005,STU00001,C010,2024SP,P003,3,B,True,True,Hybrid
E00000006,STU00001,C011,2024SU,P003,3,B,True,True,In Person
E00000007,STU00001,C019,2024SU,P003,4,B,True,True,Hybrid
E00000008,STU00001,C012,2024FA,P003,3,D,False,True,In Person
E00000009,STU00001,C014,2024FA,P003,3,A,True,True,Online
E00000010,STU00001,C006,2024FA,P003,3,B,True,True,Hybrid
E00000011,STU00001,C003,2025SP,P003,3,D,False,True,Online
E00000012,STU00001,C009,2025SP,P003,3,A,True,True,Online
E00000013,STU00001,C023,2025SP,P003,4,B,True,True,In Person
E00000014,STU00001,C032,2025SP,P003,3,B,True,True,Online
E00000015,STU00001,C013,2025FA,P003,3,A,True,True,Online
E00000016,STU00001,C007,2025FA,P003,4,B,True,True,Online
E00000017,STU00001,C008,2026SP,P003,4,A,True,True,Online
E00000018,STU00001,C022,2026SP,P003,2,C,True,True,In Person
E00000019,STU00002,C004,2024FA,P002,3,B,True,True,In Person
E00000020,STU00002,C001,2024FA,P002,1,B,True,True,In Person
E00000021,STU00002,C002,2024FA,P002,3,C,True,True,In Person
E00000022,STU00002,C005,2025SP,P002,3,B,True,True,Hybrid
E00000023,STU00002,C003,2025SP,P002,3,C,True,True,In Person
E00000024,STU00002,C010,2025SU,P008,3,C,True,True,In Person
E00000025,STU00002,C009,2025SU,P008,3,C,True,True,Hybrid
E00000026,STU00002,C011,2025SU,P008,3,C,True,True,In Person
E00000027,STU00003,C001,2022FA,P004,1,A,True,True,In Person
E00000028,STU00003,C002,2022FA,P004,3,B,True,True,Online
E00000029,STU00003,C005,2022FA,P004,3,A,True,True,Hybrid
E00000030,STU00003,C011,2023SP,P004,3,A,True,True,In Person
E00000031,STU00003,C006,2023SP,P004,3,A,True,True,In Person
E00000032,STU00003,C009,2023SP,P004,3,A,True,True,In Person
E00000033,STU00003,C003,2023SP,P004,3,A,True,True,Hybrid
E00000034,STU00003,C010,2023SP,P004,3,A,True,True,Online
E00000035,STU00003,C032,2023FA,P004,3,A,True,True,Hybrid
E00000036,STU00003,C013,2023FA,P004,3,A,True,True,In Person
E00000037,STU00003,C012,2023FA,P004,3,A,True,True,In Person
E00000038,STU00003,C038,2023FA,P004,3,B,True,True,In Person
E00000039,STU00003,C014,2023FA,P004,3,B,True,True,In Person
E00000040,STU00004,C001,2022FA,P006,1,A,True,True,In Person
E00000041,STU00004,C002,2022FA,P006,3,C,True,True,In Person
E00000042,STU00004,C005,2022FA,P006,3,F,False,True,In Person
E00000043,STU00004,C040,2022FA,P006,3,B,True,True,In Person
E00000044,STU00004,C009,2023SP,P006,3,B,True,True,In Person
E00000045,STU00004,C011,2023SP,P006,3,C,True,True,In Person
E00000046,STU00004,C006,2023SP,P006,3,B,True,True,In Person
E00000047,STU00004,C010,2023SP,P006,3,F,False,True,In Person
E00000048,STU00004,C012,2023FA,P006,3,C,True,True,In Person
E00000049,STU00004,C014,2023FA,P006,3,B,True,True,In Person
E00000050,STU00004,C013,2023FA,P006,3,A,True,True,Hybrid
E00000051,STU00004,C003,2023FA,P006,3,A,True,True,In Person
E00000052,STU00004,C027,2024SP,P006,3,A,True,True,In Person
E00000053,STU00004,C032,2024SP,P006,3,A,True,True,Online
E00000054,STU00004,C019,2024SP,P006,4,A,True,True,In Person
E00000055,STU00004,C036,2024SP,P006,3,D,False,True,In Person
E00000056,STU00005,C004,2025FA,P008,3,A,True,True,In Person
E00000057,STU00005,C001,2025FA,P008,1,B,True,True,In Person
E00000058,STU00005,C002,2025FA,P008,3,B,True,True,Hybrid
E00000059,STU00005,C005,2026SP,P008,3,A,True,True,In Person
E00000060,STU00005,C012,2026SP,P008,3,C,True,True,In Person
E00000061,STU00005,C003,2026SP,P008,3,B,True,True,In Person
E00000062,STU00005,C016,2026SP,P008,3,A,True,True,Hybrid
E00000063,STU00005,C011,2026SP,P008,3,A,True,True,In Person
E00000064,STU00006,C004,2024FA,P008,3,B,True,True,In Person
E00000065,STU00006,C001,2024FA,P008,1,A,True,True,In Person
E00000066,STU00006,C002,2024FA,P008,3,C,True,True,In Person
E00000067,STU00006,C005,2025SP,P008,3,C,True,True,In Person
E00000068,STU00006,C003,2025SP,P008,3,D,False,True,Online
E00000069,STU00006,C009,2025FA,P008,3,W,False,False,Hybrid
