service_use_id,student_id,service_id,term_id,minutes,visit_reason
U0000001,STU00001,S001,2023FA,39,Academic planning
U0000002,STU00001,S002,2024SP,87,Tutoring related to C005
U0000003,STU00001,S002,2024SU,75,Tutoring related to C019
U0000004,STU00001,S002,2024FA,47,Tutoring related to C006
U0000005,STU00001,S002,2025FA,73,Tutoring related to C007
U0000006,STU00001,S003,2026SP,59,Transfer planning
U0000007,STU00001,S002,2026SP,57,Tutoring related to C008
U0000008,STU00003,S001,2022FA,48,Academic planning
U0000009,STU00003,S001,2022FA,37,Academic planning
U0000010,STU00004,S001,2023SP,43,Academic planning
U0000011,STU00004,S001,2023SP,53,Academic planning
U0000012,STU00004,S002,2024SP,59,Tutoring related to C027
U0000013,STU00004,S002,2024SP,40,Tutoring related to C019
U0000014,STU00005,S001,2025FA,47,Academic planning
U0000015,STU00005,S002,2026SP,66,Tutoring related to C005
U0000016,STU00006,S001,2024FA,29,Academic planning
U0000017,STU00007,S001,2023FA,22,Academic planning
U0000018,STU00007,S002,2023FA,41,Tutoring related to C005
U0000019,STU00007,S002,2024SP,70,Tutoring related to C027
U0000020,STU00007,S001,2025SP,38,Academic planning
U0000021,STU00007,S002,2026SP,86,Tutoring related to C029
U0000022,STU00008,S002,2024FA,57,Tutoring related to C005
U0000023,STU00009,S005,2026SP,26,Emergency aid consultation
U0000024,STU00010,S001,2024SU,54,Academic planning
U0000025,STU00010,S003,2024SU,55,Transfer planning
U0000026,STU00011,S001,2023SP,26,Academic planning
U0000027,STU00011,S001,2023SU,22,Academic planning
U0000028,STU00011,S001,2023SU,31,Academic planning
U0000029,STU00011,S002,2023SU,76,Tutoring related to C017
U0000030,STU00011,S001,2023FA,40,Academic planning
U0000031,STU00012,S001,2024SP,32,Academic planning
U0000032,STU00013,S001,2026SP,23,Academic planning
U0000033,STU00013,S002,2026SP,70,Tutoring related to C006
U0000034,STU00014,S001,2025FA,23,Academic planning
U0000035,STU00014,S002,2025FA,40,Tutoring related to C005
U0000036,STU00015,S005,2025SP,23,Emergency aid consultation
U0000037,STU00015,S001,2025FA,46,Academic planning
U0000038,STU00015,S005,2025FA,39,Emergency aid consultation
U0000039,STU00015,S002,2026SP,41,Tutoring related to C029
U0000040,STU00017,S001,2025SP,46,Academic planning
U0000041,STU00018,S001,2023FA,57,Academic planning
U0000042,STU00018,S001,2023FA,56,Academic planning
U0000043,STU00018,S003,2023FA,26,Transfer planning
U0000044,STU00018,S001,2024SP,39,Academic planning
U0000045,STU00018,S003,2024SP,51,Transfer planning
U0000046,STU00018,S001,2024FA,48,Academic planning
U0000047,STU00018,S003,2024FA,50,Transfer planning
U0000048,STU00019,S002,2025FA,32,Tutoring related to C024
U0000049,STU00021,S001,2023FA,37,Academic planning
U0000050,STU00022,S001,2025FA,23,Academic planning
U0000051,STU00022,S001,2026SP,58,Academic planning
U0000052,STU00022,S003,2026SP,45,Transfer planning
U0000053,STU00023,S001,2025FA,50,Academic planning
U0000054,STU00023,S001,2026SP,29,Academic planning
U0000055,STU00025,S001,2022FA,28,Academic planning
U0000056,STU00025,S003,2024SP,50,Transfer planning
U0000057,STU00026,S002,2025SP,53,Tutoring related to C005
U0000058,STU00026,S001,2025FA,25,Academic planning
U0000059,STU00027,S005,2024FA,40,Emergency aid consultation
U0000060,STU00027,S001,2025SU,34,Academic planning
U0000061,STU00027,S001,2025FA,25,Academic planning
U0000062,STU00028,S001,2024SP,21,Academic planning
U0000063,STU00028,S001,2024SP,44,Academic planning
U0000064,STU00028,S002,2024SP,86,Tutoring related to C005
U0000065,STU00029,S001,2023SP,25,Academic planning
U0000066,STU00029,S001,2023SP,34,Academic planning
U0000067,STU00029,S001,2023SP,47,Academic planning
U0000068,STU00029,S002,2023FA,58,Tutoring related to C006
U0000069,STU00029,S001,2024SP,49,Academic planning
U0000070,STU00029,S003,2024FA,39,Transfer planning
U0000071,STU00029,S002,2024FA,88,Tutoring related to C019
U0000072,STU00030,S001,2026SP,25,Academic planning
U0000073,STU00030,S002,2026SP,73,Tutoring related to C006
U0000074,STU00031,S001,2025SP,32,Academic planning
U0000075,STU00031,S001,2025SP,46,Academic planning
U0000076,STU00031,S001,2025SP,24,Academic planning
U0000077,STU00031,S001,2025SU,38,Academic planning
U0000078,STU00031,S003,2025SU,39,Transfer planning
U0000079,STU00031,S002,2025SU,33,Tutoring related to C006
U0000080,STU00031,S003,2025FA,48,Transfer planning
U0000081,STU00031,S001,2026SP,29,Academic planning
U0000082,STU00033,S001,2024FA,50,Academic planning
U0000083,STU00033,S001,2024FA,52,Academic planning
U0000084,STU00033,S001,2024FA,25,Academic planning
U0000085,STU00033,S001,2024FA,21,Academic planning
U0000086,STU00033,S001,2025SU,29,Academic planning
U0000087,STU00033,S002,2025FA,84,Tutoring related to C006
U0000088,STU00033,S002,2025FA,50,Tutoring related to C019
U0000089,STU00033,S002,2026SP,68,Tutoring related to C020
U0000090,STU00034,S001,2025SP,59,Academic planning
U0000091,STU00034,S003,2026SP,30,Transfer planning
U0000092,STU00035,S001,2025SP,31,Academic planning
U0000093,STU00036,S001,2025SP,46,Academic planning
U0000094,STU00036,S001,2025SP,22,Academic planning
U0000095,STU00036,S001,2025FA,22,Academic planning
U0000096,STU00037,S001,2023SU,51,Academic planning
U0000097,STU00037,S001,2023FA,58,Academic planning
U0000098,STU00037,S001,2023FA,50,Academic planning
U0000099,STU00037,S003,2023FA,34,Transfer planning
U0000100,STU00037,S001,2024SP,38,Academic planning
U0000101,STU00038,S001,2025SP,30,Academic planning
U0000102,STU00038,S003,2025SP,41,Transfer planning
U0000103,STU00038,S001,2025SU,35,Academic planning
U0000104,STU00039,S003,2023FA,40,Transfer planning
U0000105,STU00039,S003,2024FA,44,Transfer planning
U0000106,STU00040,S001,2025FA,55,Academic planning
U0000107,STU00040,S002,2025FA,61,Tutoring related to C006
