student_term_id,student_id,term_id,program_id,credits_attempted,credits_earned,cumulative_credits,cumulative_gpa,enrollment_intensity
T0000001,STU00001,2023FA,P003,7,7,7.0,2.71,Part Time
T0000002,STU00001,2024SP,P003,6,6,13.0,3.08,Part Time
T0000003,STU00001,2024SU,P003,7,7,20.0,3.05,Part Time
T0000004,STU00001,2024FA,P003,9,6,26.0,2.93,Part Time
T0000005,STU00001,2025SP,P003,13,10,36.0,2.88,Full Time
T0000006,STU00001,2025FA,P003,7,7,43.0,2.96,Part Time
T0000007,STU00001,2026SP,P003,6,6,49.0,3.0,Part Time
T0000008,STU00002,2024FA,P002,7,7,7.0,2.57,Part Time
T0000009,STU00002,2025SP,P002,6,6,13.0,2.54,Part Time
T0000010,STU00002,2025SU,P008,9,9,22.0,2.32,Part Time
T0000011,STU00003,2022FA,P004,7,7,7.0,3.57,Part Time
T0000012,STU00003,2023SP,P004,15,15,22.0,3.86,Full Time
T0000013,STU00003,2023FA,P004,15,15,37.0,3.76,Full Time
T0000014,STU00004,2022FA,P006,10,7,7.0,1.9,Part Time
T0000015,STU00004,2023SP,P006,12,9,16.0,1.95,Full Time
T0000016,STU00004,2023FA,P006,12,12,28.0,2.41,Full Time
T0000017,STU00004,2024SP,P006,13,10,38.0,2.66,Full Time
T0000018,STU00005,2025FA,P008,7,7,7.0,3.43,Part Time
T0000019,STU00005,2026SP,P008,15,15,22.0,3.41,Full Time
T0000020,STU00006,2024FA,P008,7,7,7.0,2.71,Part Time
T0000021,STU00006,2025SP,P008,6,3,10.0,2.15,Part Time
T0000022,STU00006,2025FA,P008,6,0,10.0,1.94,Part Time
T0000023,STU00007,2023FA,P006,7,7,7.0,3.71,Part Time
T0000024,STU00007,2024SP,P006,12,12,19.0,3.26,Full Time
T0000025,STU00007,2024FA,P006,9,9,28.0,3.39,Part Time
T0000026,STU00007,2025SP,P006,13,13,41.0,3.44,Full Time
T0000027,STU00007,2025FA,P006,7,7,48.0,3.31,Part Time
T0000028,STU00007,2026SP,P006,9,9,57.0,3.37,Part Time
T0000029,STU00008,2024FA,P006,7,6,6.0,2.29,Part Time
T0000030,STU00008,2025SP,P006,6,6,12.0,2.38,Part Time
T0000031,STU00009,2025FA,P003,15,15,15.0,3.2,Full Time
T0000032,STU00009,2026SP,P003,12,12,27.0,3.11,Full Time
T0000033,STU00010,2023FA,P003,7,7,7.0,3.14,Part Time
T0000034,STU00010,2024SP,P003,13,13,20.0,3.2,Full Time
T0000035,STU00010,2024SU,P003,12,12,32.0,3.5,Full Time
T0000036,STU00011,2022FA,P001,7,4,4.0,1.86,Part Time
T0000037,STU00011,2023SP,P001,9,9,13.0,2.12,Part Time
T0000038,STU00011,2023SU,P001,12,6,19.0,2.29,Full Time
T0000039,STU00011,2023FA,P001,9,9,28.0,2.3,Part Time
T0000040,STU00012,2024SP,P007,13,3,3.0,1.3,Full Time
T0000041,STU00013,2025FA,P003,7,3,3.0,1.71,Part Time
T0000042,STU00013,2026SP,P003,8,5,8.0,1.67,Part Time
T0000043,STU00014,2025SP,P006,7,7,7.0,3.14,Part Time
T0000044,STU00014,2025FA,P006,12,12,19.0,3.53,Full Time
T0000045,STU00014,2026SP,P006,10,10,29.0,3.55,Part Time
T0000046,STU00015,2024FA,P004,10,10,10.0,3.0,Part Time
T0000047,STU00015,2025SP,P004,9,6,16.0,3.0,Part Time
T0000048,STU00015,2025FA,P004,15,6,22.0,2.23,Full Time
T0000049,STU00015,2026SP,P001,15,12,34.0,2.28,Full Time
T0000050,STU00016,2023FA,P007,7,7,7.0,4.0,Part Time
T0000051,STU00017,2024FA,P004,13,13,13.0,3.54,Full Time
T0000052,STU00017,2025SP,P004,15,15,28.0,3.46,Full Time
T0000053,STU00018,2023FA,P001,7,7,7.0,2.0,Part Time
T0000054,STU00018,2024SP,P001,12,9,16.0,2.0,Full Time
T0000055,STU00018,2024FA,P001,9,9,25.0,2.11,Part Time
T0000056,STU00018,2025SP,P001,15,15,40.0,2.28,Full Time
T0000057,STU00019,2025FA,P005,11,3,3.0,1.75,Part Time
T0000058,STU00020,2023FA,P001,7,7,7.0,2.71,Part Time
T0000059,STU00020,2024SP,P001,12,9,16.0,2.58,Full Time
T0000060,STU00020,2024SU,P001,12,12,28.0,2.84,Full Time
T0000061,STU00021,2023FA,P003,12,12,12.0,3.58,Full Time
T0000062,STU00021,2024SP,P003,10,10,22.0,3.77,Part Time
