student_id,entry_term_id,entry_age_band,first_generation,pell_eligible,full_time_at_entry,modality_preference,initial_program_id,work_commitment,developmental_math_start,final_outcome
STU00001,2023FA,17-19,False,True,False,Mixed,P003,Moderate,True,Transferred
STU00002,2024FA,17-19,True,True,False,Mostly In Person,P002,Low,True,Stopped Out
STU00003,2022FA,17-19,True,False,True,Mostly In Person,P004,Moderate,False,Transferred
STU00004,2022FA,20-24,False,False,True,Mostly In Person,P006,Moderate,False,Credentialed
STU00005,2025FA,17-19,False,False,True,Mostly In Person,P008,High,True,Active
STU00006,2024FA,17-19,True,False,False,Mostly In Person,P008,High,True,Stopped Out
STU00007,2023FA,17-19,False,False,False,Mostly Online,P006,Low,False,Credentialed
STU00008,2024FA,35+,False,True,False,Mixed,P006,Low,False,Stopped Out
STU00009,2025FA,17-19,False,True,True,Mixed,P003,Moderate,False,Transferred
STU00010,2023FA,17-19,True,True,True,Mostly In Person,P003,Moderate,False,Transferred
STU00011,2022FA,20-24,False,False,False,Mixed,P001,Moderate,True,Transferred
STU00012,2024SP,17-19,False,False,True,Mixed,P007,High,True,Stopped Out
STU00013,2025FA,17-19,True,False,False,Mixed,P003,High,True,Active
STU00014,2025SP,17-19,False,True,False,Mostly In Person,P006,Moderate,True,Active
STU00015,2024FA,25-34,True,True,True,Mostly In Person,P004,High,True,Active
STU00016,2023FA,20-24,False,True,True,Mostly In Person,P007,Moderate,False,Stopped Out
STU00017,2024FA,17-19,True,True,True,Mostly In Person,P004,Moderate,False,Transferred
STU00018,2023FA,20-24,False,True,True,Mostly Online,P001,Moderate,False,Transferred
STU00019,2025FA,17-19,True,False,True,Mixed,P005,Low,True,Stopped Out
STU00020,2023FA,17-19,True,True,True,Mostly Online,P001,Moderate,False,Transferred
STU00021,2023FA,17-19,True,False,True,Mostly In Person,P003,Moderate,True,Stopped Out
STU00022,2025FA,20-24,False,False,True,Mostly In Person,P004,Moderate,True,Active
STU00023,2025FA,17-19,True,False,True,Mixed,P001,Moderate,False,Active
STU00024,2025FA,17-19,False,True,False,Mixed,P001,Moderate,False,Active
STU00025,2022FA,25-34,False,True,False,Mostly In Person,P003,Low,True,Transferred
STU00026,2024FA,17-19,False,False,False,Mostly In Person,P002,High,True,Transferred
STU00027,2024FA,20-24,False,True,False,Mostly In Person,P005,Moderate,False,Active
STU00028,2023FA,17-19,True,False,True,Mostly Online,P001,Moderate,True,Transferred
STU00029,2023SP,20-24,True,False,True,Mostly In Person,P007,Low,False,Credentialed and Transferred
STU00030,2025FA,20-24,False,True,True,Mixed,P005,Moderate,True,Active
STU00031,2024FA,17-19,False,True,True,Mostly In Person,P003,Low,True,Transferred
STU00032,2025FA,20-24,True,True,True,Mostly In Person,P002,High,False,Active
STU00033,2024FA,17-19,True,False,True,Mostly In Person,P006,Moderate,False,Credentialed
STU00034,2024FA,25-34,True,False,True,Mixed,P004,Low,False,Active
STU00035,2024FA,25-34,False,True,True,Mostly Online,P003,Moderate,True,Stopped Out
STU00036,2025SP,35+,False,True,True,Mostly In Person,P002,Moderate,False,Stopped Out
STU00037,2022FA,20-24,True,True,True,Mixed,P008,Low,True,Transferred
STU00038,2024FA,20-24,False,False,True,Mostly In Person,P004,Moderate,True,Transferred
STU00039,2023SP,17-19,False,False,True,Mixed,P004,Low,False,Transferred
STU00040,2025SP,17-19,True,True,True,Mostly In Person,P003,High,True,Active
STU00041,2023FA,20-24,True,False,True,Mostly In Person,P001,Moderate,True,Stopped Out
STU00042,2023SP,20-24,False,False,False,Mixed,P007,Low,True,Credentialed and Transferred
STU00043,2022FA,17-19,True,False,True,Mostly Online,P002,Moderate,False,Transferred
STU00044,2023FA,20-24,True,False,False,Mostly In Person,P004,Moderate,False,Transferred
STU00045,2025SP,17-19,True,True,False,Mostly In Person,P007,Low,False,Transferred
STU00046,2024SP,25-34,False,False,True,Mixed,P004,Low,True,Transferred
STU00047,2022FA,25-34,True,True,True,Mostly In Person,P001,Moderate,False,Transferred
STU00048,2023FA,17-19,True,True,True,Mostly In Person,P002,Low,False,Transferred
STU00049,2024FA,25-34,True,False,False,Mostly In Person,P006,High,True,Stopped Out
STU00050,2024SP,20-24,False,False,True,Mostly In Person,P003,High,True,Transferred
STU00051,2024FA,20-24,True,False,True,Mostly In Person,P005,Moderate,True,Credentialed
STU00052,2023SP,17-19,True,False,False,Mostly In Person,P002,High,False,Transferred
STU00053,2023FA,17-19,True,True,True,Mixed,P006,Low,True,Credentialed
STU00054,2024SP,35+,True,True,True,Mixed,P002,Moderate,False,Transferred
STU00055,2024FA,17-19,False,True,False,Mixed,P006,Moderate,False,Credentialed
STU00056,2024FA,20-24,True,False,True,Mostly In Person,P008,High,False,Stopped Out
STU00057,2025FA,17-19,False,False,False,Mostly Online,P007,High,False,Active
STU00058,2024FA,20-24,False,False,True,Mostly In Person,P003,High,False,Transferred
STU00059,2024SP,25-34,True,True,True,Mostly In Person,P001,Moderate,False,Stopped Out
STU00060,2025FA,17-19,True,True,True,Mostly In Person,P005,High,False,Active
STU00061,2025FA,17-19,False,False,True,Mixed,P003,Moderate,True,Stopped Out
STU00062,2024SP,25-34,True,False,True,Mixed,P007,High,True,Credentialed and Transferred
STU00063,2024FA,20-24,True,False,True,Mostly In Person,P004,Low,False,Stopped Out
STU00064,2024FA,20-24,True,True,True,Mostly In Person,P007,Moderate,True,Stopped Out
STU00065,2022FA,20-24,False,False,False,Mostly In Person,P002,High,False,Transferred
STU00066,2023FA,20-24,False,False,True,Mostly In Person,P008,Moderate,False,Transferred
STU00067,2022FA,17-19,False,False,True,Mixed,P006,Low,False,Credentialed
STU00068,2025FA,20-24,True,True,False,Mostly Online,P007,High,False,Active
STU00069,2022FA,20-24,False,False,False,Mostly Online,P006,High,False,Stopped Out
STU00070,2022FA,25-34,False,True,True,Mostly Online,P008,Moderate,True,Credentialed and Transferred
STU00071,2023SP,25-34,False,False,False,Mixed,P005,High,True,Stopped Out
STU00072,2025FA,17-19,True,False,True,Mixed,P007,Moderate,False,Active
STU00073,2022FA,35+,True,True,False,Mostly Online,P005,Moderate,False,Credentialed
STU00074,2022FA,17-19,False,False,True,Mixed,P002,High,False,Stopped Out
STU00075,2024SP,35+,False,True,True,Mixed,P008,Moderate,False,Transferred
STU00076,2022FA,25-34,False,False,True,Mostly Online,P005,Moderate,True,Stopped Out
STU00077,2022FA,25-34,True,True,True,Mixed,P008,Low,True,Transferred
STU00078,2022FA,17-19,True,False,False,Mostly Online,P006,High,False,Stopped Out
STU00079,2025FA,25-34,False,False,True,Mixed,P002,High,True,Active
STU00080,2024FA,20-24,True,True,False,Mostly In Person,P005,High,True,Stopped Out
STU00081,2025FA,25-34,False,True,False,Mostly Online,P003,Moderate,False,Active
STU00082,2023FA,20-24,True,True,False,Mostly In Person,P001,Moderate,True,Transferred
STU00083,2024FA,17-19,True,False,True,Mostly In Person,P001,Moderate,False,Transferred
